exhibit,value,source
Table 1. Sample construction and characteristics of the matched population,752,I48.json:estimates.panelA_sample_flow.canonical_treated_file
Table 1. Sample construction and characteristics of the matched population,168,I48.json:estimates.panelA_sample_flow.drop_no_nps_link
Table 1. Sample construction and characteristics of the matched population,120,I48.json:estimates.panelA_sample_flow.drop_insufficient_pre_window
Table 1. Sample construction and characteristics of the matched population,75,I48.json:estimates.panelA_sample_flow.drop_employment_lt5
Table 1. Sample construction and characteristics of the matched population,10,I48.json:estimates.panelA_sample_flow.drop_no_control_cell
Table 1. Sample construction and characteristics of the matched population,379,I48.json:estimates.panelA_sample_flow.matched_events
Table 1. Sample construction and characteristics of the matched population,367,I35.json:estimates.canonical.A1_hire_DiD.n
Table 1. Sample construction and characteristics of the matched population,301,I48.json:estimates.panelC_exclusions.baseline.n
Table 1. Sample construction and characteristics of the matched population,286,I65.json:estimates.panelA_firm_cluster.n_events
Table 1. Sample construction and characteristics of the matched population,53,I63.json:estimates.attrition.state_window
Table 1. Sample construction and characteristics of the matched population,1,I63.json:estimates.attrition.emp_lt5
Table 1. Sample construction and characteristics of the matched population,17,I63.json:estimates.attrition.no_cell
Table 1. Sample construction and characteristics of the matched population,22,I63.json:estimates.attrition.outcome
Table 1. Sample construction and characteristics of the matched population,180,I45.json:estimates.panelC_joint_test.n
Table 1. Sample construction and characteristics of the matched population,147,CLAIMS_LEDGER C18 (I04c financial one-year sample)
Table 1. Sample construction and characteristics of the matched population,79.8,I48.json:estimates.panelE_in_vs_out.included.median_employment
Table 1. Sample construction and characteristics of the matched population,135.6,I48.json:estimates.panelE_in_vs_out.excluded.median_employment
Table 1. Sample construction and characteristics of the matched population,218.2,I37.json:estimates.rows.0.treated
Table 1. Sample construction and characteristics of the matched population,44,I37.json:estimates.n_industries
Table 1. Sample construction and characteristics of the matched population,4.442,I70.json:estimates.panelC_balance286.lsize.treated_mean
Table 1. Sample construction and characteristics of the matched population,4.380,I70.json:estimates.panelC_balance286.lsize.control_mean
Table 1. Sample construction and characteristics of the matched population,+0.0538,I70.json:estimates.panelC_balance286.lsize.nd
Table 1. Sample construction and characteristics of the matched population,+0.095,I70.json:estimates.panelC_balance286.grow.treated_mean
Table 1. Sample construction and characteristics of the matched population,+0.080,I70.json:estimates.panelC_balance286.grow.control_mean
Table 1. Sample construction and characteristics of the matched population,+0.0651,I70.json:estimates.panelC_balance286.grow.nd
Table 1. Sample construction and characteristics of the matched population,16.524,I70.json:estimates.panelC_balance286.age.treated_mean
Table 1. Sample construction and characteristics of the matched population,18.099,I70.json:estimates.panelC_balance286.age.control_mean
Table 1. Sample construction and characteristics of the matched population,−0.1676,I70.json:estimates.panelC_balance286.age.nd
Table 1. Sample construction and characteristics of the matched population,−0.352,I70.json:estimates.panelC_balance286.S.treated_mean
Table 1. Sample construction and characteristics of the matched population,−0.343,I70.json:estimates.panelC_balance286.S.control_mean
Table 1. Sample construction and characteristics of the matched population,−0.0390,I70.json:estimates.panelC_balance286.S.nd
Table 1. Sample construction and characteristics of the matched population,0.436,I70.json:estimates.panelC_balance286.hr12.treated_mean
Table 1. Sample construction and characteristics of the matched population,0.415,I70.json:estimates.panelC_balance286.hr12.control_mean
Table 1. Sample construction and characteristics of the matched population,+0.0624,I70.json:estimates.panelC_balance286.hr12.nd
Table 1. Sample construction and characteristics of the matched population,0.352,I70.json:estimates.panelC_balance286.sep12.treated_mean
Table 1. Sample construction and characteristics of the matched population,0.350,I70.json:estimates.panelC_balance286.sep12.control_mean
Table 1. Sample construction and characteristics of the matched population,+0.0075,I70.json:estimates.panelC_balance286.sep12.nd
Table 2. Average post-investment changes relative to matched controls,0.0878,I35.json:estimates.canonical.A2_rel12.est
Table 2. Average post-investment changes relative to matched controls,"[0.0462, 0.1300]",I35.json:estimates.canonical.A2_rel12.ci
Table 2. Average post-investment changes relative to matched controls,367,I35.json:estimates.canonical.A2_rel12.n
Table 2. Average post-investment changes relative to matched controls,0.0485,I35.json:estimates.canonical.A1_hire_DiD.est
Table 2. Average post-investment changes relative to matched controls,"[0.0163, 0.0814]",I35.json:estimates.canonical.A1_hire_DiD.ci
Table 2. Average post-investment changes relative to matched controls,367,I35.json:estimates.canonical.A1_hire_DiD.n
Table 2. Average post-investment changes relative to matched controls,0.0007,I35.json:estimates.canonical.A5_separation.est
Table 2. Average post-investment changes relative to matched controls,"[−0.0353, 0.0398]",I35.json:estimates.canonical.A5_separation.ci
Table 2. Average post-investment changes relative to matched controls,367,I35.json:estimates.canonical.A5_separation.n
Table 3. Hiring responses across pre-deal hiring states,0.7101,I65.json:estimates.panelA_firm_cluster.observed
Table 3. Hiring responses across pre-deal hiring states,"[0.3187, 1.1254]",I65.json:estimates.panelA_firm_cluster.ci95
Table 3. Hiring responses across pre-deal hiring states,0.2005,I65.json:estimates.panelF_magnitude.effect_iqr
Table 3. Hiring responses across pre-deal hiring states,"[0.0900, 0.3177]",I65.json:estimates.panelF_magnitude.ci95_iqr
Table 3. Hiring responses across pre-deal hiring states,0.1010,I70.json:estimates.panelA_gradient.null_mean
Table 3. Hiring responses across pre-deal hiring states,0.1538,I70.json:estimates.panelA_gradient.null_sd
Table 3. Hiring responses across pre-deal hiring states,0.6091,I60.json:estimates.specs.winsor_5_95.excess
Table 3. Hiring responses across pre-deal hiring states,3.96,I70.json:estimates.panelA_gradient.z
